"medcode","readcode","Description","CodingSystem"
1638,"J615z13","Cirrhosis of liver NOS","readcode"
1641,"G85..11","Oesophageal varices","readcode"
1755,"J614200","Chronic aggressive hepatitis","readcode"
3450,"J615300","Diffuse nodular cirrhosis","readcode"
4743,"J612.00","Alcoholic cirrhosis of liver","readcode"
5129,"J623.00","Portal hypertension","readcode"
5638,"J616000","Primary biliary cirrhosis","readcode"
6015,"Jyu7100","[X]Other and unspecified cirrhosis of liver","readcode"
6863,"J61..00","Cirrhosis and chronic liver disease","readcode"
8206,"C350012","Pigmentary cirrhosis of liver","readcode"
8363,"G852300","Oesophageal varices in alcoholic cirrhosis of the liver","readcode"
9494,"J616.00","Biliary cirrhosis","readcode"
10636,"J624.00","Hepatorenal syndrome","readcode"
10797,"G858.00","Oesophageal varices NOS","readcode"
11960,"760C300","Fibreoptic endoscopic injection sclerotherapy oesoph varices","readcode"
15424,"J616100","Secondary biliary cirrhosis","readcode"
16455,"J615z00","Non-alcoholic cirrhosis NOS","readcode"
16725,"J615.00","Cirrhosis - non alcoholic","readcode"
16759,"760C500","Fibreoptic endoscopic banding of oesophageal varices","readcode"
17219,"J635300","Toxic liver disease with chronic persistent hepatitis","readcode"
18739,"J615z12","Cryptogenic cirrhosis of liver","readcode"
19512,"C310400","Glycogenosis with hepatic cirrhosis","readcode"
20233,"7609z00","Open operation on oesophageal varices NOS","readcode"
20912,"7609400","Open injection sclerotherapy to oesophageal varices","readcode"
22841,"J615z11","Macronodular cirrhosis of liver","readcode"
24220,"7609.00","Open operations on oesophageal varices","readcode"
24989,"G850.00","Oesophageal varices with bleeding","readcode"
26319,"G852200","Oesophageal varices in cirrhosis of the liver","readcode"
27438,"J615700","Cardiac portal cirrhosis","readcode"
28929,"G857.00","Gastric varices","readcode"
30655,"G851.00","Oesophageal varices without bleeding","readcode"
31897,"J62..00","Liver abscess and sequelae of chronic liver disease","readcode"
39351,"J635500","Toxic liver disease with chronic active hepatitis","readcode"
40567,"J615600","Capsular portal cirrhosis","readcode"
43404,"7609300","Local ligation of oesophageal varices","readcode"
44120,"J635600","Toxic liver disease with fibrosis and cirrhosis of liver","readcode"
44424,"G852.00","Oesophageal varices in diseases EC","readcode"
44676,"J615400","Fatty portal cirrhosis","readcode"
46647,"760F400","Rigid oesophagoscopic banding of oesophageal varices","readcode"
47214,"760F300","Rigid oesophagoscopic injection sclerotherapy oesoph varices","readcode"
47257,"J615.11","Portal cirrhosis","readcode"
48102,"J62y.00","Other sequelae of chronic liver disease","readcode"
48928,"J615H00","Infectious cirrhosis NOS","readcode"
55454,"J615y00","Portal cirrhosis unspecified","readcode"
58184,"J615812","Indian childhood cirrhosis","readcode"
58630,"J616z00","Biliary cirrhosis NOS","readcode"
62582,"G852z00","Oesophageal varices in diseases EC NOS","readcode"
64750,"J635400","Toxic liver disease with chronic lobular hepatitis","readcode"
65050,"A704000","Viral hepatitis C with coma","readcode"
68376,"J612.11","Florid cirrhosis","readcode"
69053,"A702.00","Viral hepatitis B with coma","readcode"
69204,"J615100","Multilobular portal cirrhosis","readcode"
73139,"G852100","Oesophageal varices without bleeding in diseases EC","readcode"
73482,"J615D00","Bacterial portal cirrhosis","readcode"
91591,"J616200","Biliary cirrhosis of children","readcode"
92909,"J615500","Hypertrophic portal cirrhosis","readcode"
96664,"J615800","Juvenile portal cirrhosis","readcode"
96756,"G852000","Oesophageal varices with bleeding in diseases EC","readcode"
100253,"J615C00","Xanthomatous portal cirrhosis","readcode"
100474,"J612.12","Laennec's cirrhosis","readcode"
102922,"C370800","Cystic fibrosis related cirrhosis","readcode"
105611,"Gyu9400","[X]Oesophageal varices in diseases classified elsewhere","readcode"
108800,"J62z.00","Liver abscess and chronic liver disease causing sequelae NOS","readcode"
