code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
10280,History of Pulmonary embolism,Med codes,C881,2901,Pulmonary embolism - Primary care,PH71,142,Pulmonary embolism,"{'Disease': 'Pulmonary embolism', 'ReadcodeDescr': 'H/O: pulmonary embolus', 'Readcode': '14AC.00'}"
1266,Diagnosis of Pulmonary embolism,Med codes,C881,2901,Pulmonary embolism - Primary care,PH71,142,Pulmonary embolism,"{'Disease': 'Pulmonary embolism', 'ReadcodeDescr': 'Pulmonary embolism', 'Readcode': 'G401.00'}"
16976,History of Pulmonary embolism,Med codes,C881,2901,Pulmonary embolism - Primary care,PH71,142,Pulmonary embolism,"{'Disease': 'Pulmonary embolism', 'ReadcodeDescr': '[V] Personal history of pulmonary embolism', 'Readcode': 'ZV12900'}"
18121,Diagnosis of Pulmonary embolism,Med codes,C881,2901,Pulmonary embolism - Primary care,PH71,142,Pulmonary embolism,"{'Disease': 'Pulmonary embolism', 'ReadcodeDescr': 'Post operative pulmonary embolus', 'Readcode': 'G401000'}"
34687,Procedure for Pulmonary embolism,Med codes,C881,2901,Pulmonary embolism - Primary care,PH71,142,Pulmonary embolism,"{'Disease': 'Pulmonary embolism', 'ReadcodeDescr': 'Trendelenburg pulmonary embolectomy', 'Readcode': '7A09311'}"
45740,Procedure for Pulmonary embolism,Med codes,C881,2901,Pulmonary embolism - Primary care,PH71,142,Pulmonary embolism,"{'Disease': 'Pulmonary embolism', 'ReadcodeDescr': 'Open embolectomy of pulmonary artery', 'Readcode': '7A09300'}"
65459,Procedure for Pulmonary embolism,Med codes,C881,2901,Pulmonary embolism - Primary care,PH71,142,Pulmonary embolism,"{'Disease': 'Pulmonary embolism', 'ReadcodeDescr': 'Percutaneous transluminal embolectomy of pulmonary artery', 'Readcode': '7A0A100'}"
89238,Procedure for Pulmonary embolism,Med codes,C881,2901,Pulmonary embolism - Primary care,PH71,142,Pulmonary embolism,"{'Disease': 'Pulmonary embolism', 'ReadcodeDescr': 'Pulmonary thromboendarterectomy', 'Readcode': '7A0B000'}"
96209,Diagnosis of Pulmonary embolism,Med codes,C881,2901,Pulmonary embolism - Primary care,PH71,142,Pulmonary embolism,"{'Disease': 'Pulmonary embolism', 'ReadcodeDescr': 'Recurrent pulmonary embolism', 'Readcode': 'G401100'}"
9701,Diagnosis of Pulmonary embolism,Med codes,C881,2901,Pulmonary embolism - Primary care,PH71,142,Pulmonary embolism,"{'Disease': 'Pulmonary embolism', 'ReadcodeDescr': 'Pulmonary embolus', 'Readcode': 'G401.12'}"
