code,coding_system,description,entity,list_name,upload_date
14A3.00,Read,h/o: myocardial infarct <60,diagnostic,329 - res30: Ischaemic heart disease,2015-10-22
14A4.00,Read,h/o: myocardial infarct >60,diagnostic,329 - res30: Ischaemic heart disease,2015-10-22
14A5.00,Read,h/o: angina pectoris,diagnostic,329 - res30: Ischaemic heart disease,2015-10-22
14AA.00,Read,h/o: heart disease nos,diagnostic,329 - res30: Ischaemic heart disease,2015-10-22
14AH.00,Read,h/o: myocardial infarction in last year,diagnostic,329 - res30: Ischaemic heart disease,2015-10-22
14AJ.00,Read,h/o: angina in last year,diagnostic,329 - res30: Ischaemic heart disease,2015-10-22
14AL.00,Read,h/o: treatment for ischaemic heart disease,diagnostic,329 - res30: Ischaemic heart disease,2015-10-22
14AT.00,Read,history of myocardial infarction,diagnostic,329 - res30: Ischaemic heart disease,2015-10-22
14AW.00,Read,h/o acute coronary syndrome,diagnostic,329 - res30: Ischaemic heart disease,2015-10-22
182A.00,Read,Chest pain on exertion,diagnostic,329 - res30: Ischaemic heart disease,2015-10-22
187..00,Read,frequency of angina,diagnostic,329 - res30: Ischaemic heart disease,2015-10-22
1J61.00,Read,suspected ischaemic heart disease,diagnostic,329 - res30: Ischaemic heart disease,2015-10-22
3213111,Read,Positive exercise ECG test,diagnostic,329 - res30: Ischaemic heart disease,2015-10-22
322..00,Read,ecg: myocardial ischaemia,diagnostic,329 - res30: Ischaemic heart disease,2015-10-22
3222,Read,ecg:shows myocardial ischaemia,diagnostic,329 - res30: Ischaemic heart disease,2015-10-22
322Z.00,Read,ecg: myocardial ischaemia nos,diagnostic,329 - res30: Ischaemic heart disease,2015-10-22
323..00,Read,ecg: myocardial infarction,diagnostic,329 - res30: Ischaemic heart disease,2015-10-22
3232,Read,ecg: old myocardial infarction,diagnostic,329 - res30: Ischaemic heart disease,2015-10-22
3233,Read,ecg: antero-septal infarct.,diagnostic,329 - res30: Ischaemic heart disease,2015-10-22
3234,Read,ecg:posterior/inferior infarct,diagnostic,329 - res30: Ischaemic heart disease,2015-10-22
3235,Read,ecg: subendocardial infarct,diagnostic,329 - res30: Ischaemic heart disease,2015-10-22
3236,Read,ecg: lateral infarction,diagnostic,329 - res30: Ischaemic heart disease,2015-10-22
323Z.00,Read,ecg: myocardial infarct nos,diagnostic,329 - res30: Ischaemic heart disease,2015-10-22
32B..00,Read,ecg: q wave,diagnostic,329 - res30: Ischaemic heart disease,2015-10-22
32B2.00,Read,ecg: q wave abnormal,diagnostic,329 - res30: Ischaemic heart disease,2015-10-22
32B3.00,Read,ecg: q wave pathological,diagnostic,329 - res30: Ischaemic heart disease,2015-10-22
32BZ.00,Read,ecg: q wave nos,diagnostic,329 - res30: Ischaemic heart disease,2015-10-22
32E4.00,Read,ecg: s-t depression,diagnostic,329 - res30: Ischaemic heart disease,2015-10-22
44H3.00,Read,cardiac enzymes abnormal,diagnostic,329 - res30: Ischaemic heart disease,2015-10-22
44H3000,Read,cardiac enzymes abnormal - first set,diagnostic,329 - res30: Ischaemic heart disease,2015-10-22
44HJ.00,Read,Plasma creatinine phosphokinase MB isoenzyme level,diagnostic,329 - res30: Ischaemic heart disease,2015-10-22
44MH.00,Read,Plasma troponin T level,diagnostic,329 - res30: Ischaemic heart disease,2015-10-22
44p2.00,Read,cardiac troponin positive,diagnostic,329 - res30: Ischaemic heart disease,2015-10-22
5533,Read,angiocardiography abnormal,diagnostic,329 - res30: Ischaemic heart disease,2015-10-22
5543,Read,coronary arteriograph.abnormal,diagnostic,329 - res30: Ischaemic heart disease,2015-10-22
5C11.00,Read,radionuclide heart study abnormal,diagnostic,329 - res30: Ischaemic heart disease,2015-10-22
661M000,Read,angina self-management plan agreed,diagnostic,329 - res30: Ischaemic heart disease,2015-10-22
662..00,Read,Cardiac disease monitoring,diagnostic,329 - res30: Ischaemic heart disease,2015-10-22
662..11,Read,Heart disease monitoring,diagnostic,329 - res30: Ischaemic heart disease,2015-10-22
