code,coding_system,description,entity,list_name,upload_date
N05..00,Read,Osteoarthritis and allied disorders,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N050.00,Read,Generalised osteoarthritis - OA,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N050000,Read,Generalised osteoarthritis of unspecified site,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N050100,Read,Generalised osteoarthritis of the hand,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N050200,Read,Generalised osteoarthritis of multiple sites,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N050400,Read,Primary generalized osteoarthrosis,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N050600,Read,Erosive osteoarthrosis,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N050z00,Read,Generalised osteoarthritis NOS,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N051.00,Read,Localised; primary osteoarthritis,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N051000,Read,Localised; primary osteoarthritis of unspecified site,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05..11,Read,Osteoarthritis,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N051100,Read,Localised; primary osteoarthritis of the shoulder region,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N051200,Read,Localised; primary osteoarthritis of the upper arm,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N051300,Read,Localised; primary osteoarthritis of the forearm,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N051400,Read,Localised; primary osteoarthritis of the hand,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N051500,Read,Localised; primary osteoarthritis of the pelvic region/thigh,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N051600,Read,Localised; primary osteoarthritis of the lower leg,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N051700,Read,Localised; primary osteoarthritis of the ankle and foot,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N051800,Read,Localised; primary osteoarthritis of other specified site,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N051D00,Read,Localised; primary osteoarthritis of the wrist,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N051E00,Read,Localised; primary osteoarthritis of toe,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N051F00,Read,Localised; primary osteoarthritis of elbow,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N051z00,Read,Localised; primary osteoarthritis NOS,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N052.00,Read,Localised; secondary osteoarthritis,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N052000,Read,Localised; secondary osteoarthritis of unspecified site,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N052100,Read,Localised; secondary osteoarthritis of the shoulder region,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N052200,Read,Localised; secondary osteoarthritis of the upper arm,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N052300,Read,Localised; secondary osteoarthritis of the forearm,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N052400,Read,Localised; secondary osteoarthritis of the hand,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N052500,Read,Localised; secondary osteoarthritis of pelvic region/thigh,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N052600,Read,Localised; secondary osteoarthritis of the lower leg,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N052700,Read,Localised; secondary osteoarthritis of the ankle and foot,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N052800,Read,Localised; secondary osteoarthritis of other specified site,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N052z00,Read,Localised; secondary osteoarthritis NOS,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N053.00,Read,Localised osteoarthritis; unspecified,diagnostic,267 - res26: Osteoarthritis,2015-04-20
